chartSource,songRank,songName,songArtist,songStreams
billboard,1,What's Next,Drake,0
billboard,2,Wants And Needs,Drake Featuring Lil Baby,0
billboard,3,Lemon Pepper Freestyle,Drake Featuring Rick Ross,0
billboard,4,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),0
billboard,5,Drivers License,Olivia Rodrigo,0
billboard,6,Up,Cardi B,0
billboard,7,Save Your Tears,The Weeknd,0
billboard,8,Blinding Lights,The Weeknd,0
billboard,9,34+35,Ariana Grande,0
billboard,10,Mood,24kGoldn Featuring iann dior,0
billboard,11,Go Crazy,Chris Brown & Young Thug,0
billboard,12,What You Know Bout Love,Pop Smoke,0
billboard,13,Levitating,Dua Lipa Featuring DaBaby,0
billboard,14,Calling My Phone,Lil Tjay Featuring 6LACK,0
billboard,15,Positions,Ariana Grande,0
billboard,16,Back In Blood,Pooh Shiesty Featuring Lil Durk,0
billboard,17,Therefore I Am,Billie Eilish,0
billboard,18,Streets,Doja Cat,0
billboard,19,Good Days,SZA,0
billboard,20,You Broke Me First.,Tate McRae,0
billboard,21,You're Mines Still,Yung Bleu Featuring Drake,0
billboard,22,Best Friend,Saweetie Featuring Doja Cat,0
billboard,23,Dakiti,Bad Bunny & Jhay Cortez,0
billboard,24,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,0
billboard,25,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,0
billboard,26,Hold On,Justin Bieber,0
billboard,27,On Me,Lil Baby,0
billboard,28,My Ex's Best Friend,Machine Gun Kelly X blackbear,0
billboard,29,Whoopty,CJ,0
billboard,30,What's Your Country Song,Thomas Rhett,0
billboard,31,Just The Way,Parmalee x Blanco Brown,0
billboard,32,The Good Ones,Gabby Barrett,0
billboard,33,Good Time,Niko Moon,0
billboard,34,Real As It Gets,Lil Baby Featuring EST Gee,0
billboard,35,Put Your Records On,Ritt Momney,0
billboard,36,Better Together,Luke Combs,0
