chartSource,songRank,songName,songArtist,songStreams
Spotify,1,drivers license,Olivia Rodrigo,31682433
Spotify,2,telepatía,Kali Uchis,27250126
Spotify,3,Save Your Tears,The Weeknd,26645128
Spotify,4,Astronaut In The Ocean,Masked Wolf,25253763
Spotify,5,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",24013148
Spotify,6,Blinding Lights,The Weeknd,22206539
Spotify,7,DÁKITI,"Bad Bunny, Jhay Cortez",21712800
Spotify,8,Hold On,Justin Bieber,18648723
Spotify,9,Heartbreak Anniversary,Giveon,18435346
Spotify,10,On The Ground,ROSÉ,18358124
Spotify,11,The Business,Tiësto,18230377
Spotify,12,Calling My Phone,"Lil Tjay, 6LACK",18107851
Spotify,13,Streets,Doja Cat,17768696
Spotify,14,What’s Next,Drake,17655464
Spotify,15,Bandido,"Myke Towers, Juhn",17485542
Spotify,16,Mood (feat. iann dior),24kGoldn,17041970
Spotify,17,WITHOUT YOU,The Kid LAROI,17022810
Spotify,18,Up,Cardi B,16424478
Spotify,19,Levitating (feat. DaBaby),Dua Lipa,16221854
Spotify,20,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",15259550
Spotify,21,Dynamite,BTS,15174579
Spotify,22,Baila Conmigo (with Rauw Alejandro),Selena Gomez,15087570
Spotify,23,Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole",15037831
Spotify,24,Wants and Needs (feat. Lil Baby),Drake,14101637
Spotify,25,Good Days,SZA,13402324
Spotify,26,Gone,ROSÉ,13238406
Spotify,27,Watermelon Sugar,Harry Styles,13225891
Spotify,28,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",13219250
Spotify,29,BICHOTA,KAROL G,12992172
Spotify,30,Whoopty,CJ,12733727
Spotify,31,positions,Ariana Grande,12719418
Spotify,32,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,12439515
Spotify,33,We're Good,Dua Lipa,12416071
Spotify,34,Arcade,Duncan Laurence,12188779
Spotify,35,Someone You Loved,Lewis Capaldi,12060335
Spotify,36,Hecha Pa' Mi,Boza,11931396
Spotify,37,Heat Waves,Glass Animals,11548121
Spotify,38,Paradise (feat. Dermot Kennedy),MEDUZA,11509687
Spotify,39,34+35,Ariana Grande,11496006
Spotify,40,Your Love (9PM),"ATB, Topic, A7S",11395451
Spotify,41,Anyone,Justin Bieber,11269368
Spotify,42,Goosebumps - Remix,"Travis Scott, HVME",11240003
Spotify,43,you broke me first,Tate McRae,11179208
Spotify,44,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,11150856
Spotify,45,Don't Start Now,Dua Lipa,10839837
Spotify,46,ROCKSTAR (feat. Roddy Ricch),DaBaby,10501506
Spotify,47,What You Know Bout Love,Pop Smoke,10485091
Spotify,48,Head & Heart (feat. MNEK),Joel Corry,10445407
Spotify,49,GIRL LIKE ME,"Black Eyed Peas, Shakira",10163849
Spotify,50,Sweater Weather,The Neighbourhood,10075866
Spotify,51,911,Sech,9779289
Spotify,52,Therefore I Am,Billie Eilish,9778767
Spotify,53,SugarCrash!,ElyOtto,9774180
Spotify,54,WAP (feat. Megan Thee Stallion),Cardi B,9555183
Spotify,55,Fiel,"Los Legendarios, Wisin, Jhay Cortez",9516875
Spotify,56,Prisoner (feat. Dua Lipa),Miley Cyrus,9505819
Spotify,57,Dance Monkey,Tones And I,9233403
Spotify,58,Reloj,"Rauw Alejandro, Anuel AA",9200157
Spotify,59,Hawái,Maluma,9155993
Spotify,60,Best Friend (feat. Doja Cat),Saweetie,9145702
Spotify,61,Roses - Imanbek Remix,SAINt JHN,8797325
Spotify,62,Lemon Pepper Freestyle (feat. Rick Ross),Drake,8736009
Spotify,63,Before You Go,Lewis Capaldi,8638919
Spotify,64,Heather,Conan Gray,8507677
Spotify,65,My Head & My Heart,Ava Max,8496989
Spotify,66,Batom de Cereja - Ao Vivo,Israel & Rodolffo,8471100
Spotify,67,Circles,Post Malone,8106571
Spotify,68,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7994438
Spotify,69,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",7985366
Spotify,70,lovely (with Khalid),Billie Eilish,7956256
Spotify,71,No Te Enamores - Remix,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",7860673
Spotify,72,At My Worst,Pink Sweat$,7833066
Spotify,73,Adore You,Harry Styles,7800889
Spotify,74,Golden,Harry Styles,7786094
Spotify,75,Follow You,Imagine Dragons,7711691
Spotify,76,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,7554308
Spotify,77,Goosebumps,HVME,7548107
Spotify,78,Machu Picchu,"Camilo, Evaluna Montaner",7517388
Spotify,79,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",7494141
Spotify,80,Además de Mí - Remix,"Rusherking, KHEA, Duki, Maria Becerra, Lit Killah, Tiago PZK",7472925
Spotify,81,death bed (coffee for your head),"Powfu, beabadoobee",7431403
Spotify,82,Tapão Na Raba,Raí Saia Rodada,7339777
Spotify,83,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,7299022
Spotify,84,Lucid Dreams,Juice WRLD,7254521
Spotify,85,TE MUDASTE,Bad Bunny,7245026
Spotify,86,Holy (feat. Chance The Rapper),Justin Bieber,7224449
Spotify,87,willow,Taylor Swift,7108693
Spotify,88,goosebumps,Travis Scott,7080453
Spotify,89,Shallow,"Lady Gaga, Bradley Cooper",7013523
Spotify,90,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,6993643
Spotify,91,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",6983654
Spotify,92,Believer,Imagine Dragons,6952834
Spotify,93,Laugh Now Cry Later (feat. Lil Durk),Drake,6950898
Spotify,94,LOCATION,"KAROL G, Anuel AA, J Balvin",6925038
Spotify,95,bad guy,Billie Eilish,6903037
Spotify,96,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",6855357
Spotify,97,Lonely (with benny blanco),Justin Bieber,6851525
Spotify,98,Memories,Maroon 5,6848129
Spotify,99,The Box,Roddy Ricch,6817523
Spotify,100,Señorita,"Shawn Mendes, Camila Cabello",6710972
Spotify,101,Back In Blood (feat. Lil Durk),Pooh Shiesty,6656913
Spotify,102,Breaking Me,"Topic, A7S",6624587
Spotify,103,Afterglow,Ed Sheeran,6583750
Spotify,104,Say You Won't Let Go,James Arthur,6568177
Spotify,105,Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",6557847
Spotify,106,The Hills,The Weeknd,6520395
Spotify,107,Chica Ideal,"Sebastian Yatra, Guaynaa",6460879
Spotify,108,Take Me To Church,Hozier,6434857
Spotify,109,Dámelo To’ (feat. Myke Towers),Selena Gomez,6426522
Spotify,110,Blueberry Faygo,Lil Mosey,6402178
Spotify,111,Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno",6352840
Spotify,112,Perfect,Ed Sheeran,6348160
Spotify,113,Life Goes On,BTS,6334606
Spotify,114,Daddy Issues,The Neighbourhood,6313463
Spotify,115,Break My Heart,Dua Lipa,6304070
Spotify,116,Mi Niña,"Wisin, Myke Towers, Los Legendarios",6301007
Spotify,117,Wishing Well,Juice WRLD,6264736
Spotify,118,Shape of You,Ed Sheeran,6250736
Spotify,119,Jocelyn Flores,XXXTENTACION,6220509
Spotify,120,Falling,Harry Styles,6197372
Spotify,121,Patience (feat. YUNGBLUD & Polo G),KSI,6155698
Spotify,122,HIGHEST IN THE ROOM,Travis Scott,6102268
Spotify,123,everything i wanted,Billie Eilish,6096225
Spotify,124,Hayloft,Mother Mother,6062828
Spotify,125,"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",6056964
Spotify,126,Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon",6034947
Spotify,127,Rain On Me (with Ariana Grande),Lady Gaga,6032266
Spotify,128,BEBÉ,"Camilo, El Alfa",6024671
Spotify,129,Selfish Love (with Selena Gomez),DJ Snake,6020785
Spotify,130,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,6018551
Spotify,131,Train Wreck,James Arthur,5992868
Spotify,132,Life Is Good (feat. Drake),Future,5985206
Spotify,133,PROBLEMA,Daddy Yankee,5977910
Spotify,134,Dior,Pop Smoke,5971801
Spotify,135,Ropa Cara,Camilo,5971290
Spotify,136,Robbery,Juice WRLD,5969448
Spotify,137,Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone",5965347
Spotify,138,In Your Eyes,The Weeknd,5960064
Spotify,139,"L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante",5953448
Spotify,140,Bohemian Rhapsody - Remastered 2011,Queen,5944906
Spotify,141,HOLIDAY,Lil Nas X,5936557
Spotify,142,Martin & Gina,Polo G,5910806
Spotify,143,Dreams - 2004 Remaster,Fleetwood Mac,5874115
Spotify,144,All of Me,John Legend,5859764
Spotify,145,Come & Go (with Marshmello),Juice WRLD,5857654
Spotify,146,Falling,Trevor Daniel,5845987
Spotify,147,Somebody That I Used To Know,"Gotye, Kimbra",5840560
Spotify,148,Do I Wanna Know?,Arctic Monkeys,5840041
Spotify,149,Just the Way You Are,Bruno Mars,5808255
Spotify,150,If the World Was Ending - feat. Julia Michaels,JP Saxe,5802065
Spotify,151,All Girls Are The Same,Juice WRLD,5752475
Spotify,152,Polvo,"Nicky Jam, Myke Towers",5704274
Spotify,153,SAD!,XXXTENTACION,5670307
Spotify,154,Why'd You Only Call Me When You're High?,Arctic Monkeys,5662465
Spotify,155,Ride It,Regard,5635326
Spotify,156,7 rings,Ariana Grande,5629269
Spotify,157,Starboy,"The Weeknd, Daft Punk",5579732
Spotify,158,SICKO MODE,Travis Scott,5545899
Spotify,159,Una Locura,"Ozuna, J Balvin, Chencho Corleone",5540983
Spotify,160,Put Your Records On,Ritt Momney,5533577
Spotify,161,Godzilla (feat. Juice WRLD),Eminem,5515914
Spotify,162,Every Breath You Take,The Police,5513037
Spotify,163,my ex's best friend (with blackbear),Machine Gun Kelly,5503324
Spotify,164,POPSTAR (feat. Drake),DJ Khaled,5500318
Spotify,165,Vida de Rico,Camilo,5499655
Spotify,166,Travesuras - Remix,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",5481153
Spotify,167,Snowman,Sia,5454807
Spotify,168,DAYWALKER! (feat. CORPSE),Machine Gun Kelly,5439646
Spotify,169,Counting Stars,OneRepublic,5416184
Spotify,170,BED,"Joel Corry, RAYE, David Guetta",5408561
Spotify,171,Yellow,Coldplay,5402462
Spotify,172,Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez",5368886
Spotify,173,Take You Dancing,Jason Derulo,5348757
Spotify,174,La Tóxica,Farruko,5339830
Spotify,175,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,5339366
Spotify,176,Tusa,"KAROL G, Nicki Minaj",5287568
Spotify,177,Stuck with U (with Justin Bieber),Ariana Grande,5282609
Spotify,178,Riptide,Vance Joy,5275926
Spotify,179,when the party's over,Billie Eilish,5261237
