songName,songFeq,artistName,artistFeq
drivers license,467788902,Olivia Rodrigo,13
What’s Next,28117894,Drake,20
Save Your Tears,216464501,The Weeknd,40
telepatía,61225889,Kali Uchis,3
Leave The Door Open,24320342,"Bruno Mars, Anderson .Paak, Silk Sonic",1
Wants and Needs (feat. Lil Baby),23417143,Drake,20
Astronaut In The Ocean,112558900,Masked Wolf,8
Blinding Lights,243312060,The Weeknd,40
DÁKITI,270039854,"Bad Bunny, Jhay Cortez",10
Hold On,20879737,Justin Bieber,39
Calling My Phone,92047068,"Lil Tjay, 6LACK",4
Bandido,181097961,"Myke Towers, Juhn",10
The Business,159590810,Tiësto,10
Mood (feat. iann dior),207783489,24kGoldn,10
WITHOUT YOU,184301617,The Kid LAROI,19
Streets,135350944,Doja Cat,17
Lemon Pepper Freestyle (feat. Rick Ross),17517919,Drake,20
LA NOCHE DE ANOCHE,166578299,"Bad Bunny, ROSALÍA",10
Heartbreak Anniversary,51596056,Giveon,4
Up,75917167,Cardi B,15
Good Days,172362620,SZA,10
Levitating (feat. DaBaby),158622248,Dua Lipa,34
Ella No Es Tuya - Remix,46688180,"Rochy RD, Myke Towers, Nicki Nicole",4
Dynamite,161777659,BTS,20
Baila Conmigo (with Rauw Alejandro),89118775,Selena Gomez,8
BICHOTA,182239746,KAROL G,17
Whoopty,171808564,CJ,10
positions,178279803,Ariana Grande,54
34+35,161532693,Ariana Grande,54
Hecha Pa' Mi,144296573,Boza,10
Someone You Loved,124717448,Lewis Capaldi,20
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,41800655,Nathan Evans,4
Arcade,47598028,Duncan Laurence,5
you broke me first,134912492,Tate McRae,10
Heat Waves,97060489,Glass Animals,10
Anyone,158680609,Justin Bieber,39
We're Good,52310136,Dua Lipa,34
Paradise (feat. Dermot Kennedy),121617006,MEDUZA,10
"Lemonade (feat. Gunna, Don Toliver & NAV)",155489001,Internet Money,10
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,27729413,"Riton, Nightcrawlers",3
Your Love (9PM),52983864,"ATB, Topic, A7S",6
What You Know Bout Love,131643769,Pop Smoke,54
Goosebumps - Remix,78697514,"Travis Scott, HVME",8
Watermelon Sugar,122643155,Harry Styles,40
Head & Heart (feat. MNEK),119791572,Joel Corry,10
Therefore I Am,135093967,Billie Eilish,50
GIRL LIKE ME,100156547,"Black Eyed Peas, Shakira",10
ROCKSTAR (feat. Roddy Ricch),108631586,DaBaby,10
Sweater Weather,104709557,The Neighbourhood,20
Prisoner (feat. Dua Lipa),116123870,Miley Cyrus,16
Reloj,111621432,"Rauw Alejandro, Anuel AA",10
Dance Monkey,106760703,Tones And I,17
Hawái,116961914,Maluma,12
WAP (feat. Megan Thee Stallion),112790383,Cardi B,15
SugarCrash!,24195520,ElyOtto,3
Selfish Love (with Selena Gomez),9265541,DJ Snake,1
Don't Start Now,100710860,Dua Lipa,34
Best Friend (feat. Doja Cat),77737260,Saweetie,9
Roses - Imanbek Remix,103348598,SAINt JHN,10
Before You Go,93981948,Lewis Capaldi,20
Heather,98247449,Conan Gray,20
My Head & My Heart,29681366,Ava Max,7
La Nota,102893439,"Manuel Turizo, Rauw Alejandro, Myke Towers",10
For The Night (feat. Lil Baby & DaBaby),101432219,Pop Smoke,54
No Te Enamores - Remix,64348382,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",9
Machu Picchu,8069408,"Camilo, Evaluna Montaner",1
911,26344373,Sech,4
Circles,80079630,Post Malone,16
lovely (with Khalid),78898881,Billie Eilish,50
Monster (Shawn Mendes & Justin Bieber),114062812,Shawn Mendes,18
Fiel,25915962,"Los Legendarios, Wisin, Jhay Cortez",4
death bed (coffee for your head),79665173,"Powfu, beabadoobee",10
Goosebumps,91567723,HVME,10
At My Worst,73975367,Pink Sweat$,10
Además de Mí - Remix,7618673,"Rusherking, KHEA, Duki, Maria Becerra, Lit Killah, Tiago PZK",1
Sunflower - Spider-Man: Into the Spider-Verse,76201471,"Post Malone, Swae Lee",10
Holy (feat. Chance The Rapper),83044534,Justin Bieber,39
Laugh Now Cry Later (feat. Lil Durk),82101684,Drake,20
TE MUDASTE,85508272,Bad Bunny,21
Lucid Dreams,77754229,Juice WRLD,55
Lonely (with benny blanco),104534088,Justin Bieber,39
Ropa Cara,62347949,Camilo,17
Relación - Remix,84213663,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",10
Shallow,68530725,"Lady Gaga, Bradley Cooper",10
goosebumps,73369996,Travis Scott,30
BEBÉ,85127649,"Camilo, El Alfa",10
Savage Love (Laxed - Siren Beat),78295628,"Jawsh 685, Jason Derulo",10
LOCATION,29634517,"KAROL G, Anuel AA, J Balvin",4
Golden,76710340,Harry Styles,40
Afterglow,102161634,Ed Sheeran,44
Memories,71371024,Maroon 5,11
bad guy,67461442,Billie Eilish,50
Adore You,72642457,Harry Styles,40
Señorita,71330437,"Shawn Mendes, Camila Cabello",10
The Box,74504137,Roddy Ricch,10
willow,101133218,Taylor Swift,18
Believer,66372059,Imagine Dragons,10
Chica Ideal,87145684,"Sebastian Yatra, Guaynaa",10
The Hills,44176842,The Weeknd,40
Breaking Me,76139394,"Topic, A7S",10
