week1,songName,artistName,streams,week2,songName,artistName,streams,week3,songName,artistName,streams,week4,songName,artistName,streams,week5,songName,artistName,streams,week6,songName,artistName,streams,week7,songName,artistName,streams,week8,songName,artistName,streams,week9,songName,artistName,streams,week10,songName,artistName,streams
1,drivers license,Olivia Rodrigo,34354364,1,drivers license,Olivia Rodrigo,37066956,1,drivers license,Olivia Rodrigo,40018035,1,drivers license,Olivia Rodrigo,42861515,1,drivers license,Olivia Rodrigo,48003217,1,drivers license,Olivia Rodrigo,54166615,1,drivers license,Olivia Rodrigo,64681075,1,drivers license,Olivia Rodrigo,80764045,1,drivers license,Olivia Rodrigo,65873080,1,DÁKITI,"Bad Bunny, Jhay Cortez",31544941
2,What’s Next,Drake,28117894,2,Save Your Tears,The Weeknd,28677819,2,Save Your Tears,The Weeknd,29394143,2,Save Your Tears,The Weeknd,30002430,2,Save Your Tears,The Weeknd,30115082,2,DÁKITI,"Bad Bunny, Jhay Cortez",27544366,2,DÁKITI,"Bad Bunny, Jhay Cortez",28696860,2,DÁKITI,"Bad Bunny, Jhay Cortez",30189319,2,DÁKITI,"Bad Bunny, Jhay Cortez",30690893,2,Mood (feat. iann dior),24kGoldn,23461354
3,Save Your Tears,The Weeknd,27063727,3,Blinding Lights,The Weeknd,24332884,3,Blinding Lights,The Weeknd,25579878,3,Blinding Lights,The Weeknd,26709566,3,Blinding Lights,The Weeknd,28838481,3,Blinding Lights,The Weeknd,22418356,3,Blinding Lights,The Weeknd,22885490,3,Blinding Lights,The Weeknd,23094057,3,Blinding Lights,The Weeknd,23841990,3,Blinding Lights,The Weeknd,22981042
4,telepatía,Kali Uchis,25690656,4,DÁKITI,"Bad Bunny, Jhay Cortez",23528044,4,DÁKITI,"Bad Bunny, Jhay Cortez",24705934,4,Calling My Phone,"Lil Tjay, 6LACK",26623780,4,DÁKITI,"Bad Bunny, Jhay Cortez",26145345,4,Save Your Tears,The Weeknd,21797516,4,Mood (feat. iann dior),24kGoldn,21809952,4,Mood (feat. iann dior),24kGoldn,22974369,4,Mood (feat. iann dior),24kGoldn,23670415,4,positions,Ariana Grande,21761667
5,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",24320342,5,Calling My Phone,"Lil Tjay, 6LACK",22238369,5,Calling My Phone,"Lil Tjay, 6LACK",23680465,5,DÁKITI,"Bad Bunny, Jhay Cortez",24806315,5,Bandido,"Myke Towers, Juhn",19989826,5,Mood (feat. iann dior),24kGoldn,20908757,5,Good Days,SZA,20809013,5,BICHOTA,KAROL G,21262093,5,BICHOTA,KAROL G,21706067,5,BICHOTA,KAROL G,21424279
6,Wants and Needs (feat. Lil Baby),Drake,23417143,6,telepatía,Kali Uchis,21709859,6,Bandido,"Myke Towers, Juhn",20095918,6,Bandido,"Myke Towers, Juhn",19794612,6,Mood (feat. iann dior),24kGoldn,19890784,6,Good Days,SZA,19488839,6,BICHOTA,KAROL G,20480781,6,positions,Ariana Grande,20973589,6,positions,Ariana Grande,21701387,6,Anyone,Justin Bieber,20640496
7,Astronaut In The Ocean,Masked Wolf,23333417,7,Astronaut In The Ocean,Masked Wolf,21539855,7,Mood (feat. iann dior),24kGoldn,19418746,7,Mood (feat. iann dior),24kGoldn,19103306,7,WITHOUT YOU,The Kid LAROI,18518839,7,Bandido,"Myke Towers, Juhn",19354941,7,positions,Ariana Grande,19623916,7,Good Days,SZA,20190575,7,Anyone,Justin Bieber,21069130,7,34+35,Ariana Grande,19518134
8,Blinding Lights,The Weeknd,22630316,8,Bandido,"Myke Towers, Juhn",19461380,8,Astronaut In The Ocean,Masked Wolf,19353231,8,Love Story (Taylor’s Version),Taylor Swift,18627530,8,Whoopty,CJ,18157947,8,WITHOUT YOU,The Kid LAROI,19119779,8,WITHOUT YOU,The Kid LAROI,19164739,8,WITHOUT YOU,The Kid LAROI,19445485,8,34+35,Ariana Grande,21065903,8,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,18108073
9,DÁKITI,"Bad Bunny, Jhay Cortez",22187837,9,The Business,Tiësto,18774926,9,The Business,Tiësto,18643851,9,WITHOUT YOU,The Kid LAROI,18341882,9,Streets,Doja Cat,18123014,9,BICHOTA,KAROL G,19090199,9,Bandido,"Myke Towers, Juhn",18916804,9,Anyone,Justin Bieber,19430035,9,WITHOUT YOU,The Kid LAROI,18785087,9,Dynamite,BTS,17952431
10,Hold On,Justin Bieber,20879737,10,Mood (feat. iann dior),24kGoldn,18761296,10,WITHOUT YOU,The Kid LAROI,18554073,10,Whoopty,CJ,17378401,10,Good Days,SZA,18060603,10,Streets,Doja Cat,18274551,10,Save Your Tears,The Weeknd,18909322,10,Whoopty,CJ,18810928,10,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,18425259,10,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",17269881
