songRank,songName,songComment
1,Drivers License,"RT @qtjaemin00: jn has his drivers license so ~ 
#nomin https://t.co/ayiJmcgtGR
RT @qtjaemin00: jn has his drivers license so ~ 
#nomin https://t.co/ayiJmcgtGR
Oregon motor voter law nationwide @algore . You have a drivers license, you’re registered to vote if you’re of age.… https://t.co/AXxMTTLz7C
RT @qtjaemin00: jn has his drivers license so ~ 
#nomin https://t.co/ayiJmcgtGR
RT @qtjaemin00: jn has his drivers license so ~ 
#nomin https://t.co/ayiJmcgtGR
a jisso tá cantando drivers license... para tá doendo
RT @qtjaemin00: jn has his drivers license so ~ 
#nomin https://t.co/ayiJmcgtGR
RT @qtjaemin00: jn has his drivers license so ~ 
#nomin https://t.co/ayiJmcgtGR
RT @qtjaemin00: jn has his drivers license so ~ 
#nomin https://t.co/ayiJmcgtGR
RT @qtjaemin00: jn has his drivers license so ~ 
#nomin https://t.co/ayiJmcgtGR"
2,Up,"RT @aaIiyahhair: Ain’t no nigga driving me crazy this year, IM THE DRIVER NOW!! 

buckle up bitch😌😂
My psychiatrist: this medication also helps treat depression and anxiety
Me: cool
My psychiatrist: don’t fuck up wh… https://t.co/Y5Lb5oaO3R
RT @CmCryuni: 🎉コラボ記念フォロー＆RTキャンペーン🎉
特製墨絵アート #声優 #サイン色紙 が当たる🎁

【1回目】応募方法
1⃣@CmCryuniをフォロー
2⃣この投稿をRT
3⃣3/24〆切 当選はDMでご報告✉
更にボーナスツイートRTすると当選確率が2…
RT @weareoneEXO: Beyond LIVE - 2021 XIUMIN ONLINE FANMEETING “ON : XIUWEET TIME”
OFFICIAL MD 2nd LINE UP NOTICE

▶ Sales Day

2021. 03. 19…
RT @weareoneEXO: Beyond LIVE - 2021 XIUMIN ONLINE FANMEETING “ON : XIUWEET TIME”
OFFICIAL MD 2nd LINE UP NOTICE

▶ Sales Day

2021. 03. 19…
RT @GenshinImpact: A Windblume Story

Today, The Cat's Tail is hosting a Festive Challenge competition with the Windblume Festival-exclusiv…
RT @XoBiridiana: Okay so I’m just going just post it on Twitter first since I have like no active followers but I’m opening up my own Body…
RT @weareoneEXO: Beyond LIVE - 2021 XIUMIN ONLINE FANMEETING “ON : XIUWEET TIME”
OFFICIAL MD 2nd LINE UP NOTICE

▶ Sales Day

2021. 03. 19…
RT @DevinFcknEnders: Lol if @iamcardib hasn’t seen this yet I hope she does soon. 😂😂 I love it! #up https://t.co/00IH6ej7AD
You light me up inside 🎶.. Do you want to join our girls night? 🔥👯 https://t.co/c4doiDIlkx"
3,Blinding Lights,"RT @kevinwoo91: Blinding Lights BTS photos are up on Patreon!✨
다 많은 비하인드 사진들 패트리온에 공개했어요^^
より多くのオフショットはPatreonでUPしました ^^

https://t.co/4aeR…
@ColossusNick Then the theme song for 36 was blinding lights, Vince is the ultimate troll
OJO yves feat ek chico del tarje rojo de blinding lights porfavor https://t.co/TtDV9mxMM5
#IvanKlass #Chilled #Artistic #Literary #Music  #SpreadTheWord 

""From the Dreams Full of Nightmares,
I did learn t… https://t.co/3iyGD5gpcD
to ansiosa por causa das coisas que eu tenho que fazer essa semana enquanto toca o início de blinding lights na minha cabeça
The Weeknd Ft. Rosalia - Blinding Lights [Remix] (Intro Edit) (Clean)
Blinding Lights/The Weekend
#ゆしぷれ
The Weeknd、「Blinding Lights」が全米チャートで52週トップ10入りの新記録を達成 https://t.co/ySRZ6sAPRr
RT @2010MisterChip: CHL 1-0 ATM (36’) - Luis Suárez cumple ahora mismo 2.160 minutos (36 horas exactas) de fútbol sin marcar como visitante…
RT @EiRR0RMuziek: Blinding Lights (Unknown Error Bootleg)
Release coming soon: Keep Informed! 👀 
#ukhardcore #happyhardcore #remix #EDMTwit…"
4,34+35,"@boxingscene ‘Alvarez didn’t fight Gennady Golovkin until he was 36, Miguel Cotto until he was 35, Erislandy Lara u… https://t.co/G6hmlBbyJf
RT @fahskyarissara: นับตามสากล
ลีทึก - 38
ฮีชอล - 38
เยซอง - 37
ชินดง - 36
อึนฮยอก - 35
ทงเฮ - 35
ซีวอน - 35
เรียวอุค - 34
คยูฮยอน - 33
รวม…
RT @K1: STOP THE HATE! John 13:34-35

My condolences and prayers to those who have lost loved ones unnecessarily.  I don’t understand the h…
RT @ChanyeolBrand: 33 https://t.co/0rdyfVKIiC
34 https://t.co/hF8aYNPtzS
35 https://t.co/H8nzMVBYtu

#TheBoxPremiere
#CHANYEOLinTheBox
#3월2…
iTunes US

#141 Lady Gaga &amp; Ariana Grande - Rain On Me (+99)
#169 Ariana Grande - Dangerous Woman (NEW)
#219 Ariana… https://t.co/Q3CZvLJPsx
Big Move Alert 
1. C -0.09 S 0.05 N 34 or 35 https://t.co/K8Uu2KFsWi Y 0.11
2. C 0.05 S 0.03 N 36 or 37 https://t.co/K8Uu2KFsWi Y 0.89
בליכוד אופטימיים | סקרים פנימיים צופים 34־35 מנדטים

צילום: Yonatan Sindel/Flash90 https://t.co/P8UhT5LJ3w
サイズ
（約）（タテ）35．0×（ヨコ）34．0×（マチ）14．0cm
はちょっとしたお買い物や、男性の二泊程度の荷物なら
十分入りそうです。外に大きめのポケット1、内部に1
どちらもジッパー付きでガードもばっちり。… https://t.co/cqhSHFgWcH
RT @sweet_star0317: #年子week
(𝟤𝟢𝟤𝟣.𝟥.𝟣𝟩 ~ 𝟤𝟢𝟤𝟣.𝟥.𝟤𝟥)

今日から1週間 #キスマイ だけに訪れる奇跡✨

#北山宏光 (35) #横尾渉 (34) #藤ヶ谷太輔 (33) #宮田俊哉 (32) #玉森裕太 (31) #二階堂高嗣…
@nabbonyi Langsung yaang. Tp nnti malem 34+35 g?"
5,Go Crazy,"@iisunx_ Tbh idk how long I've been waiting bc of this crazy stuff with my losing my other acc having to make this… https://t.co/bqqM8QM22F
RT @artistryjen: ""go crazy blinks"" 😭 https://t.co/GAFYwgMcwZ
RT @PS_OfficialTH: As a fans, we are not perfect. We make mistakes. We forgot things. We lose our cool and some days we go a little crazy.…
RT @Just_KingCammm: When I have a bad day I go home and take a nap. Not murder 8 innocent people in 3 different locations. It’s crazy how t…
RT @Just_KingCammm: When I have a bad day I go home and take a nap. Not murder 8 innocent people in 3 different locations. It’s crazy how t…
RT @Just_KingCammm: When I have a bad day I go home and take a nap. Not murder 8 innocent people in 3 different locations. It’s crazy how t…
RT @Just_KingCammm: When I have a bad day I go home and take a nap. Not murder 8 innocent people in 3 different locations. It’s crazy how t…
Go crazy. https://t.co/MdkL4l9eaj
RT @Just_KingCammm: When I have a bad day I go home and take a nap. Not murder 8 innocent people in 3 different locations. It’s crazy how t…
RT @Just_KingCammm: When I have a bad day I go home and take a nap. Not murder 8 innocent people in 3 different locations. It’s crazy how t…"
6,Save Your Tears,"POPULAR NOW ~ Worldwide
Songs

1 ➙ DYNAMITE by BTS
2 ➚ LEAVE THE DOOR OPEN by Bruno Mars, Anderson .Paak &amp; Silk Son… https://t.co/m8fBHFBZPZ
@AustinMNavarro @Graciebeibe @dailytrvis Every song on eternal atake some songs from future's album, save your tears, many many more songs
SAVE YOUR TEARS
Save Your Tears
save your tears for the day when our pain is far behind&lt;痛みが遠く過ぎ去るまで 涙は見せるな&gt;　　｢rise｣/(攻殻機動隊 S.A.C. 2ndGIG　OP)
Save your tears de the weeknd, me define al momento de conocer a alguien, pq siempre huyo...
RT @theweeknd: SAVE YOUR TEARS OUT NOW : https://t.co/I8ibu2qoOW https://t.co/s0RRpVB1pI
RT @DojaCatStats: “Streets” has surpassed “Save Your Tears” and “Whoopty” becoming the 6th most streamed song of 2021 in the US, with over…
“Save your tears for another day...” https://t.co/g3QZ1pt1Cx
RT @DojaCatStats: “Streets” has surpassed “Save Your Tears” and “Whoopty” becoming the 6th most streamed song of 2021 in the US, with over…"
7,Mood,"RT @tagsenchemistry: Donny is a mood 😳❤️

#DonBelle #DONBELLEmpire
@donnypangilinan | @bellemariano02 https://t.co/qUXykx3uDE
mood https://t.co/i2nr7pOrW0
RT @jadutxt: #mood .. https://t.co/zz6sxeE4oz
Mood today! https://t.co/kzcNWWVf9q
RT @iamarqui: MOOD asf https://t.co/XB9epAhamZ
RT @Rayrexofficial: Mood all March!!!! https://t.co/0EQWC2nPjW
@hopeworldxmon MOOD
RT @chunsik15: #mood https://t.co/hIJOud5K9b
RT @rubberdeokies: the mood was all serious and I skipped a bit so I landed on TXTs and wtf ??? why so comedic 😭😭😭😭 https://t.co/hv4pjZi0SR
RT @rubberdeokies: the mood was all serious and I skipped a bit so I landed on TXTs and wtf ??? why so comedic 😭😭😭😭 https://t.co/hv4pjZi0SR"
8,Calling My Phone,"RT @itsahlyssamarie: tiktok vibed wit it, how ab twitter?? here’s my remix to “Calling My Phone ☎️ “ @liltjay https://t.co/8jtLq5Og73
Calling my Phone ; mood
I hate everybody lol. Dead ass. Stop calling my phone. 😑
Liltjayy knew what he was doing w/ calling my phone 😂
@HelloBatsy Sad L homie I told my manager don't bother me tomorrow don't think of calling me I will not work that d… https://t.co/FDmYR2XeBC
RT @Father2AQueen: I’ve been teaching my daughter the concept of calling upon her lord and seeking His help before turning to others. Today…
Start calling my phone
THAT CRACK KICKIN TIA ASS BITCH STILL UP CALLING MY FUCKIN PHONE AT THIS HOUR🤦🏽‍♀️
RT @itsahlyssamarie: tiktok vibed wit it, how ab twitter?? here’s my remix to “Calling My Phone ☎️ “ @liltjay https://t.co/8jtLq5Og73
@tzsawyer @NBCNews Maybe they should just stop making number based phones landline and mobile period. 🤷‍♂️can't see… https://t.co/aklFqZ0vgz"
9,What You Know Bout Love,"pop smoke// what you know bout love.💕
What you know bout love, I got what you need
https://t.co/EQylXRi27v
#NowPlaying
@POPSMOKE10 “What You Know Bout Love”
#DCPlaylist
What you know bout love? I got what you need.
@AKAMeidasWendy @Meidas_LaurenA @Meidas_Erin @MeidasCeejay @lmakowski3 @Meidas_Kiesha @Meidas_Kassan… https://t.co/EZmjW6wgPW
🎵🎵 NOW PLAYING: What You Know Bout Love [Clean] - Pop Smoke 🎵🎵
Pop Smoke - What You Know Bout Love (Dirty)
WHAT YOU KNOW BOUT LOVE
What you know bout love? I got what you need🎶"
10,Levitating,"RT @yerinkth: Yuju: levitating

Also yuju: being a visual https://t.co/K5n693KGBg
RT @Ste_gOsH930: I still can't believe Yuju's part was her levitating😂🤣

@GFRDofficial
#GFRIEND #유주 #망망 
#WhatDoYouBelieveIn 
#IBelieveInMy…
RT @Ste_gOsH930: I still can't believe Yuju's part was her levitating😂🤣

@GFRDofficial
#GFRIEND #유주 #망망 
#WhatDoYouBelieveIn 
#IBelieveInMy…
RT @Ste_gOsH930: I still can't believe Yuju's part was her levitating😂🤣

@GFRDofficial
#GFRIEND #유주 #망망 
#WhatDoYouBelieveIn 
#IBelieveInMy…
RT @Ste_gOsH930: GFriend's part looked so cool and extra and they're basically just practicing 😂 in such a cool outfits and lmfao Yuju levi…
RT @Ste_gOsH930: GFriend's part looked so cool and extra and they're basically just practicing 😂 in such a cool outfits and lmfao Yuju levi…
yuju levitating 😄😄
#WhatDoYouBelieveIn
#IBelieveInMySelf #GFRIEND 
#여자친구 @GFRDofficial https://t.co/N5eihsPZir
RT @Ste_gOsH930: GFriend's part looked so cool and extra and they're basically just practicing 😂 in such a cool outfits and lmfao Yuju levi…
RT @Gfriendology: AYO WHY IS YUJU LEVITATING LMAOOO https://t.co/zXumAUNKKJ
RT @Ste_gOsH930: I still can't believe Yuju's part was her levitating😂🤣

@GFRDofficial
#GFRIEND #유주 #망망 
#WhatDoYouBelieveIn 
#IBelieveInMy…"
